station_origin,Abbey Road,Acton Central,Acton Town,Aldgate,Aldgate East,All Saints,Alperton,Amersham,Anerley,Angel,Archway,Arnos Grove,Arsenal,Baker Street,Balham,Bank and Monument,Barbican,Barking,Barkingside,Barons Court,Bayswater,Beckton,Beckton Park,Becontree,Belsize Park,Bermondsey,Bethnal Green,Blackfriars,Blackhorse Road,Blackwall,Bond Street,Borough,Boston Manor,Bounds Green,Bow Church,Bow Road,Brent Cross,Brentwood,Brixton,Brockley,Bromley-by-Bow,Brondesbury,Brondesbury Park,Bruce Grove,Buckhurst Hill,Burnt Oak,Bush Hill Park,Bushey,Caledonian Road,Caledonian Road & Barnsbury,Cambridge Heath,Camden Road,Camden Town,Canada Water,Canary Wharf,Canning Town,Cannon Street,Canonbury,Canons Park,Carpenders Park,Chadwell Heath,Chalfont & Latimer,Chalk Farm,Chancery Lane,Charing Cross,Chesham,Cheshunt,Chigwell,Chingford,Chiswick Park,Chorleywood,Clapham Common,Clapham High Street,Clapham Junction,Clapham North,Clapham South,Clapton,Cockfosters,Colindale,Colliers Wood,Covent Garden,Crossharbour,Crouch Hill,Croxley,Crystal Palace,Custom House,Cutty Sark,Cyprus,Dagenham East,Dagenham Heathway,Dalston Junction,Dalston Kingsland,Debden,Denmark Hill,Deptford Bridge,Devons Road,Dollis Hill,Ealing Broadway,Ealing Common,Earl's Court,East Acton,East Finchley,East Ham,East India,East Putney,Eastcote,Edgware,Edgware Road,Edmonton Green,Elephant & Castle,Elm Park,Elverson Road,Embankment,Emerson Park,Enfield Town,Epping,Euston,Euston Square,Fairlop,Farringdon,Finchley Central,Finchley Road,Finchley Road & Frognal,Finsbury Park,Forest Gate,Forest Hill,Fulham Broadway,Gallions Reach,Gants Hill,Gidea Park,Gloucester Road,Golders Green,Goldhawk Road,Goodge Street,Goodmayes,Gospel Oak,Grange Hill,Great Portland Street,Green Park,Greenford,Greenwich,Gunnersbury,Hackney Central,Hackney Downs,Hackney Wick,Haggerston,Hainault,Hammersmith,Hampstead,Hampstead Heath,Hanger Lane,Harlesden,Harold Wood,Harringay Green Lanes,Harrow & Wealdstone,Harrow-on-the-Hill,Hatch End,Hatton Cross,Headstone Lane,Heathrow Terminal 4,Heathrow Terminal 5,Heathrow Terminals 2 & 3,Hendon Central,Heron Quays,High Barnet,High Street Kensington,Highams Park,Highbury & Islington,Highgate,Hillingdon,Holborn,Holland Park,Holloway Road,Homerton,Honor Oak Park,Hornchurch,Hounslow Central,Hounslow East,Hounslow West,Hoxton,Hyde Park Corner,Ickenham,Ilford,Imperial Wharf,Island Gardens,Kennington,Kensal Green,Kensal Rise,Kensington,Kentish Town,Kentish Town West,Kenton,Kew Gardens,Kilburn,Kilburn High Road,Kilburn Park,King George V,King's Cross St. Pancras,Kingsbury,Knightsbridge,Ladbroke Grove,Lambeth North,Lancaster Gate,Langdon Park,Latimer Road,Leicester Square,Lewisham,Leyton,Leyton Midland Road,Leytonstone,Leytonstone High Road,Limehouse,Liverpool Street,London Bridge,London City Airport,London Fields,Loughton,Maida Vale,Manor House,Manor Park,Mansion House,Marble Arch,Maryland,Marylebone,Mile End,Mill Hill East,Moor Park,Moorgate,Morden,Mornington Crescent,Mudchute,Neasden,New Cross,New Cross Gate,Newbury Park,North Acton,North Ealing,North Greenwich,North Harrow,North Wembley,Northfields,Northolt,Northwick Park,Northwood,Northwood Hills,Norwood Junction,Notting Hill Gate,Oakwood,Old Street,Osterley,Oval,Oxford Circus,Paddington,Park Royal,Parsons Green,Peckham Rye,Penge West,Perivale,Piccadilly Circus,Pimlico,Pinner,Plaistow,Pontoon Dock,Poplar,Preston Road,Prince Regent,Pudding Mill Lane,Putney Bridge,Queen's Park,Queens Road Peckham,Queensbury,Queensway,Ravenscourt Park,Rayners Lane,Rectory Road,Redbridge,Regent's Park,Richmond,Rickmansworth,Roding Valley,Romford,Rotherhithe,Royal Albert,Royal Oak,Royal Victoria,Ruislip,Ruislip Gardens,Ruislip Manor,Russell Square,Seven Kings,Seven Sisters,Shadwell,Shenfield,Shepherd's Bush,Shepherd's Bush Market,Shoreditch High Street,Silver Street,Sloane Square,Snaresbrook,South Acton,South Ealing,South Hampstead,South Harrow,South Kensington,South Kenton,South Quay,South Ruislip,South Tottenham,South Wimbledon,South Woodford,Southbury,Southfields,Southgate,Southwark,St James Street,St. James's Park,St. John's Wood,St. Paul's,Stamford Brook,Stamford Hill,Stanmore,Star Lane,Stepney Green,Stockwell,Stoke Newington,Stonebridge Park,Stratford,Stratford High Street,Stratford International,Sudbury Hill,Sudbury Town,Surrey Quays,Swiss Cottage,Sydenham,Temple,Theobalds Grove,Theydon Bois,Tooting Bec,Tooting Broadway,Tottenham Court Road,Tottenham Hale,Totteridge & Whetstone,Tower Gateway,Tower Hill,Tufnell Park,Turkey Street,Turnham Green,Turnpike Lane,Upminster,Upminster Bridge,Upney,Upper Holloway,Upton Park,Uxbridge,Vauxhall,Victoria,Walthamstow Central,Walthamstow Queens Road,Wandsworth Road,Wanstead,Wanstead Park,Wapping,Warren Street,Warwick Avenue,Waterloo,Watford,Watford High Street,Watford Junction,Wembley Central,Wembley Park,West Acton,West Brompton,West Croydon,West Finchley,West Ham,West Hampstead,West Harrow,West India Quay,West Kensington,West Ruislip,West Silvertown,Westbourne Park,Westferry,Westminster,White City,White Hart Lane,Whitechapel,Willesden Green,Willesden Junction,Wimbledon,Wimbledon Park,Wood Green,Wood Lane,Wood Street,Woodford,Woodgrange Park,Woodside Park,Woolwich Arsenal,All
Cheshunt,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,6.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,5.0,,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,49.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,19.0,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,170.0
Chigwell,,,,4.0,5.0,,,,,4.0,,,,6.0,,25.0,5.0,4.0,1.0,,,,,,,2.0,3.0,5.0,,,8.0,,,,,,,,2.0,,2.0,,,,1.0,,,,,,,,3.0,9.0,22.0,9.0,,,,,,,,7.0,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,2.0,,,,,,,3.0,,,5.0,,,1.0,7.0,4.0,1.0,10.0,,,,,,,,,1.0,,2.0,,,,,,1.0,3.0,9.0,,,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,2.0,,11.0,,,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,12.0,,3.0,,,1.0,,,,,2.0,,3.0,,,22.0,12.0,,,1.0,,,,,3.0,,,3.0,,,10.0,,,,,,,2.0,,,4.0,,,,,,,,,2.0,,7.0,,,14.0,7.0,,,,,,6.0,,,,,,,,,,,,,,,,,0.0,,,,1.0,,,,,,,,,,,,,,4.0,,,,4.0,1.0,,,,,5.0,,,,,,2.0,,,,5.0,,5.0,,6.0,,,,,2.0,,,,30.0,,,,,,,,,,0.0,,,7.0,,,,5.0,,,,,,,,,2.0,,6.0,11.0,,,,1.0,,,7.0,,9.0,,,,,2.0,,2.0,,,4.0,,,,,,,,,6.0,2.0,,9.0,1.0,,,,,,,3.0,,,,471.0
Chingford,,,,,,,,,,,,,,,,,,71.0,,,,,,,,,64.0,,,,,,,,,,,,,,,11.0,,,,,,,,,11.0,44.0,,143.0,,,,15.0,,,,,,,,,,,,,,,,36.0,,,14.0,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,30.0,,,,,,36.0,,21.0,17.0,,,,,36.0,,,,14.0,,,,,,,,,,,,,41.0,,,,,,,25.0,,,,,,,,,,,,,,17.0,,,18.0,,9.0,,,,,,,,,,,,,,,,13.0,,9.0,,408.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,12.0,,340.0,,,,,14.0,,,,,,,,,,,,,,,,,,,,18.0,,,,,140.0,,,,10.0,,,,,,,,,,,45.0,,,,59.0,,,,,,,,,,15.0,145.0,,,,,,,24.0,,,,,2037.0
Chiswick Park,,,22.0,,7.0,,2.0,,,7.0,2.0,1.0,1.0,15.0,3.0,42.0,7.0,4.0,,10.0,2.0,,,,,3.0,4.0,10.0,2.0,,19.0,,4.0,1.0,,1.0,,,5.0,,2.0,,,,,,,,2.0,,,,6.0,13.0,26.0,8.0,5.0,,,,,,,13.0,8.0,0.0,,,,,,2.0,,,2.0,2.0,,,2.0,1.0,6.0,,,,,,,,,,,,,,,,,16.0,7.0,14.0,3.0,1.0,2.0,,3.0,1.0,,9.0,,7.0,0.0,,11.0,,,,14.0,8.0,,17.0,2.0,,,5.0,,,8.0,,1.0,,11.0,2.0,,7.0,,,,8.0,25.0,2.0,,,,,,,,52.0,,,3.0,,,,,3.0,,2.0,,1.0,1.0,3.0,2.0,,1.0,10.0,,16.0,1.0,0.0,19.0,,2.0,,,,2.0,2.0,1.0,,4.0,0.0,,,,2.0,,,,,,,4.0,,,,,23.0,,10.0,5.0,2.0,,,4.0,10.0,,1.0,,1.0,,,33.0,21.0,,,,2.0,1.0,,7.0,8.0,,6.0,3.0,,,16.0,,4.0,,,,,0.0,6.0,2.0,4.0,,,4.0,1.0,2.0,,,,9.0,,11.0,2.0,3.0,35.0,22.0,6.0,5.0,,,1.0,14.0,7.0,,,,,,,,5.0,,,,,12.0,1.0,,,4.0,11.0,1.0,,,,,2.0,,0.0,0.0,1.0,6.0,,6.0,,,,2.0,,,12.0,,,4.0,,1.0,22.0,,,0.0,,,1.0,,2.0,1.0,10.0,,14.0,5.0,11.0,9.0,,,,2.0,2.0,,,22.0,,,1.0,1.0,,,,7.0,,,1.0,4.0,17.0,2.0,,,7.0,,,22.0,1.0,,,,,1.0,3.0,15.0,31.0,3.0,,,,,,15.0,,20.0,,,,,4.0,2.0,12.0,,,4.0,,0.0,,5.0,,,3.0,,15.0,8.0,,12.0,,,6.0,1.0,2.0,5.0,,,,,,1277.0
Chorleywood,,,3.0,7.0,,,,2.0,,8.0,,,,14.0,,42.0,8.0,,,,,,,,,,5.0,9.0,3.0,,17.0,,,,,,,,5.0,,,,,,,,,,,,,,6.0,,30.0,10.0,5.0,,1.0,,,7.0,,13.0,7.0,2.0,,,,,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,2.0,,,6.0,,,,,,1.0,,,,6.0,,,9.0,,,,,8.0,,18.0,,5.0,,6.0,,,,,,,5.0,,,,,,,7.0,20.0,,,,,,,,,15.0,,,,,,,,7.0,,,,,,,,,,5.0,,19.0,,1.0,17.0,,,,,,,,,,3.0,1.0,,,,,,,,,,,,3.0,,,,24.0,,7.0,,2.0,,,2.0,8.0,,,,,,,35.0,20.0,,,,,,,7.0,6.0,,,4.0,,4.0,17.0,,,,,,,,,,5.0,1.0,,,,4.0,5.0,3.0,,,,13.0,,,30.0,16.0,3.0,,,,,12.0,6.0,1.0,,,,1.0,,,3.0,3.0,,1.0,,,1.0,,,4.0,,11.0,,,,,,,1.0,,1.0,6.0,,8.0,,,9.0,1.0,,,8.0,,,,,,12.0,,,,,,,,,,9.0,,11.0,5.0,11.0,,,2.0,,,,,,29.0,,,,,,4.0,,7.0,,,,,15.0,,,,7.0,,,2.0,,,,,,,6.0,12.0,23.0,,,,,,,14.0,,17.0,4.0,,,,9.0,,6.0,,,,8.0,1.0,,,,,,,13.0,,,,,,,,,2.0,,,,,,897.0
Clapham Common,,,7.0,32.0,32.0,,2.0,,,28.0,8.0,2.0,2.0,48.0,55.0,226.0,36.0,14.0,1.0,12.0,4.0,,,1.0,9.0,17.0,18.0,44.0,7.0,,74.0,24.0,3.0,3.0,,5.0,2.0,,54.0,,6.0,,,,1.0,2.0,,,8.0,,,,22.0,63.0,114.0,34.0,25.0,,,,,1.0,6.0,52.0,36.0,,,,,6.0,,,,,74.0,48.0,,,5.0,8.0,23.0,,,,,,,,2.0,3.0,,,2.0,,,,3.0,11.0,3.0,26.0,5.0,4.0,6.0,,,,2.0,24.0,,47.0,,,51.0,,,1.0,53.0,,1.0,77.0,5.0,12.0,,19.0,,,16.0,,2.0,,23.0,6.0,,28.0,,,,,103.0,3.0,,13.0,,,,,1.0,46.0,7.0,,4.0,5.0,,,3.0,6.0,,3.0,,2.0,2.0,4.0,5.0,,2.0,22.0,,57.0,3.0,1.0,74.0,9.0,7.0,,,,2.0,,1.0,,15.0,,,,,15.0,2.0,,,12.0,,,3.0,7.0,,4.0,,86.0,3.0,31.0,8.0,12.0,9.0,,5.0,41.0,,5.0,,5.0,,,169.0,122.0,,,2.0,4.0,5.0,,36.0,27.0,,17.0,14.0,2.0,,84.0,9.0,13.0,,3.0,,,2.0,9.0,,18.0,,,3.0,2.0,4.0,2.0,,,20.0,1.0,55.0,,35.0,134.0,52.0,,11.0,,,2.0,56.0,48.0,1.0,4.0,,,1.0,,,9.0,7.0,,1.0,9.0,8.0,1.0,,1.0,17.0,12.0,2.0,,,,,4.0,,1.0,,1.0,22.0,,21.0,,,28.0,,,,42.0,2.0,,2.0,,1.0,58.0,,,1.0,,10.0,2.0,,,2.0,52.0,,64.0,15.0,53.0,4.0,,2.0,,9.0,41.0,,3.0,91.0,,,,1.0,,10.0,,33.0,,,17.0,37.0,69.0,8.0,1.0,,36.0,3.0,,6.0,3.0,2.0,,2.0,,5.0,6.0,135.0,146.0,12.0,,,2.0,,,57.0,5.0,108.0,2.0,,,4.0,12.0,2.0,22.0,,0.0,15.0,17.0,0.0,,7.0,,,6.0,,69.0,18.0,,54.0,3.0,11.0,,,6.0,,,2.0,,2.0,,4905.0
Clapham High Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,210.0,,,,,,,,,,,,,,,,,,,,157.0,,,,,,,,,,,,,,,,,15.0,,,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,25.0,,,,52.0,,,,16.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,22.0,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,24.0,,,,,,,,,,,,8.0,,,,,,,,,,82.0,,108.0,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,22.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,122.0,,,20.0,,,,,,,13.0,,,94.0,,,,,,,,,,,,,,,146.0,,41.0,,,,,,,,,,1498.0
Clapham Junction,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,34.0,42.0,,,,6.0,13.0,,58.0,,98.0,,493.0,,,,34.0,,11.0,,,,,,,,,7.0,,,,177.0,,,,16.0,,,,,,,,,,,,,,44.0,64.0,,170.0,,,,,,,,,,,,,,,22.0,,,,,,19.0,,,,,,,,56.0,,,24.0,,,,,,,,,,61.0,,,,,,,67.0,,36.0,39.0,,,,82.0,,76.0,,18.0,39.0,,4.0,,12.0,,,,,,,,11.0,489.0,,,,,,55.0,16.0,,,,,65.0,,,,377.0,,,28.0,63.0,187.0,,37.0,28.0,,,16.0,,,,,,,,,,,,,,14.0,,10.0,,,,,28.0,,,,,,,,,,,,,,,,,44.0,55.0,,,,,,18.0,,,,,,,,,,,,,,,,73.0,7.0,,,,,,,,,,,,85.0,49.0,,,,,10.0,,,,,,,20.0,,,,,,,,,,202.0,,501.0,,179.0,26.0,,,,,,,,13.0,,,17.0,,,,,,,,,,,,,,,,,17.0,36.0,694.0,,,,,51.0,,19.0,,,,,,,,,,,,,,,,,,30.0,,,,,,,101.0,,,48.0,,,,,19.0,28.0,51.0,,,526.0,,,,162.0,,,,,,,,,,20.0,366.0,,169.0,,,,,13.0,,8.0,,,6934.0
Clapham North,,,4.0,19.0,19.0,,,,,16.0,4.0,1.0,,28.0,24.0,133.0,21.0,8.0,,7.0,2.0,,,1.0,5.0,10.0,10.0,25.0,4.0,,43.0,14.0,,1.0,,3.0,1.0,,36.0,,4.0,,,,,1.0,,,4.0,,,,13.0,36.0,64.0,19.0,15.0,,1.0,,,,4.0,30.0,21.0,,,,,3.0,,58.0,,,,18.0,,0.0,3.0,4.0,13.0,,,,,,,,,2.0,,,,,,,2.0,6.0,2.0,15.0,3.0,2.0,3.0,,,,1.0,14.0,,29.0,,,30.0,,,1.0,31.0,,,44.0,3.0,7.0,,10.0,,,9.0,,1.0,,14.0,3.0,,16.0,,,,,61.0,2.0,,7.0,,,,,1.0,26.0,4.0,,2.0,3.0,,,2.0,3.0,,,,1.0,1.0,2.0,3.0,,1.0,13.0,,32.0,2.0,,43.0,5.0,4.0,,,,,1.0,,,9.0,,,,,9.0,1.0,,,7.0,,,2.0,4.0,,2.0,,49.0,,18.0,4.0,7.0,5.0,,3.0,24.0,,3.0,,3.0,,,98.0,73.0,,,,2.0,3.0,,21.0,15.0,,10.0,8.0,,,49.0,4.0,7.0,,1.0,,,1.0,5.0,,10.0,,,2.0,1.0,2.0,,,,12.0,1.0,32.0,,23.0,78.0,30.0,,6.0,,,1.0,33.0,31.0,,2.0,,,,,,5.0,4.0,,,5.0,4.0,,,0.0,10.0,6.0,,,,,,2.0,,,,1.0,13.0,,12.0,,,16.0,,,,25.0,,,1.0,,,34.0,,,,,5.0,1.0,,,1.0,31.0,,38.0,8.0,31.0,2.0,,,,5.0,35.0,,1.0,51.0,,,,,,6.0,,20.0,,,8.0,18.0,40.0,5.0,1.0,,21.0,2.0,,3.0,2.0,1.0,,1.0,,3.0,3.0,89.0,88.0,7.0,,,1.0,,,33.0,3.0,65.0,,,,2.0,7.0,,13.0,,0.0,9.0,9.0,,,4.0,,,3.0,,41.0,10.0,,31.0,2.0,6.0,8.0,,3.0,,,1.0,,1.0,,2845.0
Clapham South,,,10.0,44.0,43.0,,,1.0,,39.0,11.0,3.0,3.0,66.0,159.0,297.0,49.0,20.0,,17.0,5.0,,,2.0,12.0,22.0,25.0,59.0,10.0,,99.0,30.0,4.0,4.0,,8.0,3.0,,62.0,,9.0,,,,,3.0,,,11.0,,,,31.0,86.0,158.0,48.0,33.0,,,,,,9.0,71.0,47.0,,,,,8.0,,92.0,,,44.0,,,,8.0,16.0,30.0,,,,,,,,3.0,4.0,,,,,,,4.0,16.0,5.0,35.0,8.0,6.0,8.0,,,,3.0,33.0,,58.0,,,66.0,,,,72.0,,,104.0,8.0,16.0,,26.0,,,22.0,,3.0,,32.0,9.0,,38.0,,,,,135.0,5.0,,18.0,,,,,2.0,64.0,10.0,,6.0,8.0,,,5.0,9.0,,4.0,,,3.0,6.0,8.0,,3.0,30.0,,80.0,5.0,,100.0,13.0,10.0,,,2.0,3.0,,,,19.0,,,,,18.0,3.0,,14.0,17.0,,,4.0,10.0,,5.0,,118.0,4.0,41.0,11.0,15.0,13.0,,6.0,54.0,,7.0,,8.0,,,225.0,157.0,,,3.0,6.0,7.0,,47.0,36.0,,24.0,19.0,3.0,,112.0,15.0,18.0,,4.0,,,2.0,13.0,,25.0,1.0,,4.0,3.0,6.0,,2.0,,28.0,,74.0,2.0,38.0,178.0,72.0,6.0,15.0,,,,74.0,58.0,1.0,6.0,,,2.0,,,13.0,10.0,,2.0,12.0,11.0,2.0,,1.0,22.0,17.0,,,,,,6.0,,,,,30.0,,30.0,,,40.0,,,,55.0,3.0,,4.0,,,78.0,,,,,18.0,3.0,,,4.0,67.0,,83.0,20.0,70.0,5.0,,3.0,,12.0,38.0,,4.0,129.0,,,,,,14.0,,44.0,,,39.0,74.0,92.0,12.0,2.0,,48.0,4.0,,8.0,5.0,,,2.0,,8.0,8.0,153.0,184.0,17.0,,,,,,78.0,8.0,137.0,,,,6.0,17.0,3.0,31.0,,1.0,22.0,24.0,,,10.0,,,8.0,,90.0,25.0,,74.0,5.0,16.0,,,9.0,,,,,3.0,,6645.0
Clapton,,4.0,,,,,,,,,,,,,,,,32.0,,,,,,,,,72.0,,,,,,,,,,,,,,,5.0,,,,,,,,13.0,15.0,22.0,,96.0,,,,,,,,,,,,,,,3.0,,,,,19.0,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,13.0,,,,,,,,48.0,12.0,,,,,16.0,,,,,,,,,,,,,,,,,6.0,112.0,,,,,,15.0,,,,,,,,,,,,,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,351.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,100.0,,,37.0,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,250.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,88.0,,,,,,,,,,,4.0,,,,,,,,26.0,,,,,,,,,,,,,17.0,,,,,9.0,,3.0,,,1498.0
Cockfosters,,,2.0,7.0,7.0,,,,,8.0,3.0,4.0,1.0,13.0,3.0,42.0,9.0,5.0,,3.0,,,,,3.0,,4.0,,4.0,,16.0,3.0,,3.0,,1.0,,,4.0,,,,,,,,,,3.0,,,,7.0,13.0,28.0,10.0,,,,,,,2.0,13.0,7.0,,,,,,,,,,1.0,,,,2.0,,5.0,,,,,,,,,,,,,,,,,3.0,,5.0,,,,,2.0,,,7.0,,6.0,,,9.0,,,,15.0,8.0,,19.0,,3.0,,10.0,,,4.0,,,,5.0,,,7.0,,,,7.0,19.0,,,3.0,,,,,,11.0,2.0,,1.0,,,,1.0,2.0,,,,1.0,1.0,1.0,2.0,,,5.0,,24.0,,,18.0,2.0,3.0,,,,1.0,1.0,,,3.0,,,,,2.0,,,,4.0,,,1.0,,,,,26.0,,6.0,2.0,2.0,2.0,,,8.0,,,,,,,35.0,19.0,,,,,3.0,,,6.0,,5.0,4.0,,,18.0,1.0,,,,,,,,,5.0,,,1.0,,,,,,5.0,8.0,13.0,1.0,3.0,29.0,15.0,,3.0,,,,11.0,5.0,,,,,,,,2.0,,,,2.0,2.0,,,,4.0,3.0,,,,,,1.0,,,,,6.0,,11.0,,,7.0,,,,7.0,,,1.0,,,11.0,,,,,,,,1.0,7.0,9.0,,10.0,4.0,11.0,,,,,2.0,2.0,,,30.0,,,,,,3.0,,,,,1.0,3.0,15.0,4.0,,,7.0,,,1.0,3.0,,,,,2.0,2.0,11.0,21.0,5.0,,,,,,15.0,2.0,16.0,,,,,4.0,,5.0,,,5.0,5.0,,,2.0,,,,,12.0,5.0,,13.0,1.0,4.0,4.0,,6.0,2.0,,,,,,1002.0
Colindale,,,9.0,35.0,35.0,,,,,43.0,16.0,4.0,3.0,64.0,15.0,212.0,44.0,20.0,1.0,14.0,,,,2.0,25.0,16.0,22.0,46.0,13.0,,88.0,17.0,4.0,5.0,,7.0,16.0,,21.0,,8.0,,,,1.0,49.0,,,13.0,,,,46.0,62.0,132.0,44.0,24.0,,,,,,15.0,67.0,37.0,,,,,7.0,,10.0,,,7.0,8.0,,2.0,,4.0,26.0,,,,,,,,3.0,4.0,,,3.0,,,,,16.0,,28.0,8.0,9.0,8.0,,9.0,,29.0,33.0,,30.0,1.0,,48.0,,,2.0,87.0,,1.0,100.0,11.0,,,32.0,,,19.0,,3.0,,24.0,35.0,3.0,39.0,,,,37.0,104.0,5.0,,17.0,,,,,2.0,55.0,26.0,,7.0,,,,,,,4.0,,3.0,3.0,7.0,72.0,,5.0,25.0,,95.0,7.0,,92.0,12.0,12.0,,,2.0,3.0,4.0,2.0,,16.0,,,,,8.0,4.0,,,26.0,,,4.0,,,,,138.0,,33.0,11.0,9.0,12.0,,7.0,45.0,,7.0,,8.0,,,178.0,96.0,,,3.0,6.0,8.0,,35.0,33.0,,24.0,17.0,5.0,,91.0,6.0,24.0,,,,,3.0,13.0,,22.0,,,4.0,3.0,,,,,26.0,2.0,66.0,3.0,14.0,163.0,73.0,6.0,13.0,,,,62.0,27.0,,6.0,,,,,,12.0,13.0,,,12.0,9.0,,,1.0,21.0,17.0,,,,,,6.0,,,1.0,,31.0,,37.0,,,38.0,3.0,,,37.0,3.0,,3.0,,,58.0,,,,,6.0,4.0,,7.0,4.0,45.0,,55.0,,56.0,5.0,,,,11.0,9.0,,,123.0,,,,,,,,34.0,,,6.0,16.0,85.0,15.0,2.0,,36.0,6.0,,7.0,6.0,4.0,,2.0,,7.0,,59.0,114.0,19.0,,,2.0,,,85.0,8.0,87.0,,,,,,,25.0,,,20.0,,,,8.0,,,8.0,,64.0,24.0,,62.0,,,19.0,,11.0,9.0,,3.0,,5.0,,5390.0
Colliers Wood,,,9.0,36.0,36.0,,,,,33.0,10.0,3.0,2.0,56.0,73.0,233.0,41.0,19.0,1.0,15.0,,,,2.0,11.0,18.0,22.0,48.0,10.0,,80.0,22.0,,4.0,,7.0,3.0,,39.0,,8.0,,,,,3.0,,,10.0,,,,27.0,72.0,141.0,44.0,26.0,,2.0,,,,8.0,59.0,37.0,,,,,7.0,,28.0,,,17.0,28.0,,1.0,7.0,,24.0,,,,,,,,3.0,4.0,,,3.0,,,,4.0,15.0,5.0,30.0,7.0,6.0,8.0,,,,3.0,29.0,,40.0,1.0,,51.0,,,,61.0,,,87.0,7.0,15.0,,24.0,,,19.0,,3.0,,26.0,8.0,,31.0,,,,,104.0,4.0,,17.0,,,,,2.0,57.0,9.0,,6.0,7.0,,,5.0,9.0,,,,2.0,3.0,6.0,7.0,,4.0,25.0,,72.0,5.0,,82.0,11.0,9.0,,,2.0,,3.0,2.0,,16.0,,,,,12.0,3.0,,,16.0,,,,9.0,,5.0,,101.0,4.0,33.0,10.0,11.0,11.0,,6.0,43.0,,7.0,,7.0,,,182.0,119.0,,,3.0,6.0,7.0,,38.0,30.0,,21.0,17.0,3.0,,91.0,43.0,15.0,,4.0,,,2.0,12.0,,23.0,,,4.0,3.0,6.0,,,,24.0,,61.0,,23.0,144.0,64.0,6.0,,,,3.0,59.0,39.0,,5.0,,,2.0,,,,10.0,,2.0,11.0,10.0,2.0,,1.0,19.0,16.0,,,,,,,,,,,25.0,,29.0,,,35.0,,,,42.0,,,3.0,,2.0,63.0,,,,,90.0,3.0,,,4.0,51.0,,63.0,18.0,57.0,5.0,,3.0,,11.0,19.0,,4.0,119.0,,,,,,12.0,,35.0,,,42.0,193.0,74.0,11.0,2.0,,39.0,4.0,,8.0,5.0,,,2.0,,7.0,9.0,95.0,135.0,17.0,,,,,,65.0,7.0,102.0,,,,5.0,17.0,,26.0,,,20.0,22.0,,,8.0,,,7.0,,69.0,23.0,,63.0,4.0,15.0,,,8.0,,,3.0,,3.0,,5552.0
